Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Hollier	Adam Jacques Chester Lafayette		C	MI13	2023	2/14/2024	10056211
	Aasen	Andrew J.		C	OR05	2023	8/5/2023	10055494
	Abel	William		C	TX31	2023	12/18/2023	10056442
	Abel	William		D	TX31	2023	5/15/2023	40003491
	Abid	Zerqa		C	OH15	2023	1/11/2024	10056168
	Abid	Zerqa		X	OH15	2023	11/17/2023	30019473
	Adams	Jennifer		X	FL07	2023	11/9/2023	30019457
	Adams	Sheryl L.		C	CA49	2023	6/23/2023	10055162
	Addington	Jacob Tay		C	NY22	2023	2/29/2024	10056144
	Addington	Jacob Tay		X	NY22	2023	11/9/2023	30019462
Dr.	Adolph	Kiley		C	IN03	2023	10/13/2023	10055796
Dr.	Adolph	Kiley		X	IN03	2023	9/12/2023	30019409
Dr.	Adolph	Kiley		X	IN03	2023	10/16/2023	30019439
	Aguilar	Ylenia		X	AZ03	2023	6/23/2023	8219800
	Agwan	Pervez S.		C	TX07	2023	9/12/2023	10053135
	Agwan	Pervez S.		X	TX07	2023	5/9/2023	30018260
	Ahmad	Mahnoor		C	IL06	2023	2/12/2024	10056763
	Alam	Mohammed Jahangir		X	NY26	2023	1/3/2024	30019548
	Albertson-Corkery	Sarah Elaine		C	IA02	2023	2/14/2024	10056172
	Albertson-Corkery	Sarah Elaine		X	IA02	2023	11/17/2023	30019471
	Albritton	Gregory		C	AL02	2023	2/6/2024	10056308
	Albritton	Gregory		X	AL02	2023	12/6/2023	30019501
	Alexander	Timothy C.		C	NJ02	2023	6/4/2023	10054985
Hon.	Alford	Mark		X	MO04	2023	5/24/2023	8219662
	Ali	Addul Rahman El		D	NC12	2023	12/11/2023	40003573
Hon.	Allen	Richard W.		P	GA12	2023	6/2/2023	20022986
Hon.	Allen	Richard W.		P	GA12	2023	8/10/2023	20023082
Hon.	Allen	Richard W.		P	GA12	2023	9/8/2023	20023622
Hon.	Allen	Richard W.		P	GA12	2023	10/5/2023	20023812
Hon.	Allen	Richard W.		P	GA12	2023	11/16/2023	20024001
Hon.	Allen	Richard W.		P	GA12	2023	12/19/2023	20024101
	Altman	Susan Copius		C	NJ07	2023	9/27/2023	10055925
	Altman	Susan Copius		X	NJ07	2023	7/12/2023	8219827
	Amo	Gabe F.		C	RI01	2023	5/23/2023	10054888
	Anderson	Claire		X	CA36	2023	9/25/2023	30019414
	Anderson	Derrick		C	VA07	2023	12/26/2023	10056003
	Anderson	Derrick		X	VA07	2023	10/11/2023	30019435
	Anderson	Diane		C	WI01	2023	10/11/2023	8220017
	Anderson	Diane		D	WI01	2023	2/16/2024	8220170
	Anderson	Elizabeth		C	AL06	2023	12/29/2023	10056503
	Anderson	Jason		C	CA19	2023	12/14/2023	10056363
	Anderson	Jo		X	IN03	2023	8/9/2023	30019370
	Anderson	John Carnan		C	TX31	2023	11/30/2023	10056315
Mr.	Andrews	Russ Albert		C	CO03	2023	5/18/2023	10054830
	Andujo	Joseph Luis		C	CO08	2023	1/3/2024	10056490
	Ansari	Yassamin		C	AZ03	2023	10/27/2023	10056098
	Anstead	Chris		C	CA26	2023	1/5/2024	10056533
	Antani	Niraj Jaimini		A	OH02	2023	2/12/2024	10056768
	Antani	Niraj Jaimini		C	OH02	2023	2/12/2024	10056420
	Antani	Niraj Jaimini		X	OH02	2023	12/18/2023	30019532
	Antropov	Jayden		D	FL22	2023	4/14/2023	40003475
	Arballo	Phil		C	CA13	2023	5/15/2023	10054299
	Arceo	Miguel Angel		C	CA23	2023	5/9/2023	10053571
	Archuleta	Bob		C	CA31	2023	8/11/2023	10053004
	Archuleta	Bob		X	CA31	2023	5/9/2023	30018213
Mr.	Armey	Scott		C	TX26	2023	12/13/2023	10056365
	Arntzen	Elsie		C	MT02	2023	11/28/2023	8220065
	Arreaga	Francesco		C	CA30	2023	2/2/2024	8220137
	Arreaga	Francesco		D	CA30	2023	9/28/2023	8220015
Mr.	Atkinson	Ed Ray		C	TX18	2023	5/7/2023	10053230
Mr.	Atkinson	Ed Ray		W		2023		8219940
Hon.	Auchincloss	Jake		G	MA04	2023	5/24/2023	8219737
	Autiello	Nicholas		C	RI01	2023	5/15/2023	10052066
Mr.	Avila	Victor	Jr.	C	TX23	2023	5/11/2023	10052598
Hon.	Axne	Cindy		P	IA03	2023	1/2/2023	20022202
Hon.	Axne	Cindy		T	IA03	2023	1/28/2023	10050798
Hon.	Babin	Brian		P	TX36	2023	6/9/2023	20005641
	Babits	Joseph		C	FL08	2023	1/16/2024	10056608
	Baccam	Lanon		C	IA03	2023	12/18/2023	10056387
Mr.	Bach	Kenneth James		C	PA14	2023	7/4/2023	10055215
	Bailey	Darren		C	IL12	2023	8/16/2023	10055393
	Bailey	Darren		X	IL12	2023	8/1/2023	30019363
	Baker	David		C	PA11	2023	8/18/2023	10055720
	Baker	Dennis		C	OK01	2023	7/7/2023	10055243
	Baker	Dennis		D	OK01	2023	5/25/2023	40003494
	Balekian	Alex Arto		C	CA30	2023	5/16/2023	10054800
Hon.	Banks	James E Hon		P	IN03	2023	6/21/2023	20023168
	Banweg	Chris		C	OH13	2023	8/14/2023	10055679
	Barr	Callie		C	MI01	2023	5/15/2023	10054656
Hon.	Barr	Garland "Andy"		G	KY06	2023	1/12/2023	8219331
	Barrett	Thomas More		C	MI07	2023	11/2/2023	10056119
	Barry	Megan		C	TN07	2023	1/3/2024	10056423
	Barry	Sean Justin		C	TX29	2023	2/21/2023	10050940
	Barve	Gary		C	FL23	2023	11/25/2023	10056135
	Barve	Gary		X	FL23	2023	11/9/2023	30019459
	Bassile	Elias		A	ME02	2023	12/13/2023	10056044
	Bassile	Elias		C	ME02	2023	10/16/2023	10056043
	Baugh	Scott		C	CA47	2023	4/14/2023	10051011
	Bausinger	Melvin Lee		C	TX23	2023	11/23/2023	10056296
	Begich	Nicholas	III	C	AK00	2023	11/10/2023	10055443
	Begich	Nicholas	III	X	AK00	2023	8/9/2023	30019368
Mr.	Bell	Wesley		C	MO01	2023	11/13/2023	10056209
	Beltran	Joaquin		C	CA42	2023	2/4/2024	10056534
	Beltran	Joaquin		X	CA42	2023	1/9/2024	30019559
Mr.	Bennett	Jim		C	GA03	2023	7/28/2023	10055414
Hon.	Bentz	Cliff		P	OR02	2023	5/3/2023	20022850
	Berbrick	Walter		C	RI01	2023	6/26/2023	8219807
	Bergmann	Charlotte		C	TN09	2023	9/12/2023	10055823
	Bernal	Benito		C	CA29	2023	12/20/2023	8220087
	Bernstein	Joby		C	CA16	2023	2/2/2024	10056317
	Bernstein	Joby		X	CA16	2023	12/6/2023	30019507
